"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_leave","Leave","Verlassen","Leave","Leave","Покинуть","Opuść","Leave","Leave","Salir","Quitter","Leave","Leave","Leave","Leave",
"lb_promote","Promote","Befördern","Promote","Promote","Продвижение","Awansuj","Promote","Promote","Ascender","Promouvoir","离开","离开","Promote","离开",
"lb_demote","Demote","Degradieren","Demote","Demote","Понижение","Zdegraduj","Demote","Demote","Degradar","Rétrograder","降级","降级","Demote","降级",
"lb_upgrade","Upgrade","Erweitern","Upgrade","Upgrade","Апгрейд","Ulepsz","Upgrade","Upgrade","Mejorar","Améliorer","升级","升级","Upgrade","升级",
"lb_join_subgroup","Join","Betreten","Join","Join","Войти","Dołącz","Join","Join","Entrar","Rejoindre","参加","参加","Join","参加",
"lb_invite","Invite","Einladen","Invite","Invite","Приглашение","Zaproś","Invite","Invite","Invitar","Inviter","邀请","邀请","Invite","邀请",
"lb_marker_icon","Icon:","Icon:","Icon:","Icon:","Иконка:","Ikona:","Icon:","Icon:","Icono:","Icône :","图标:","图标:","Icon:","图标:",
"lb_marker_name","Name:","Name:","Name:","Name:","Имя:","Nazwa:","Name:","Name:","Nombre:","Nom :","名称:","名称:","Name:","名称:",
"lb_marker_private","Private","Privat","Private","Private","Приватный","Prywatny","Private","Private","Privada","Privé","私人","私人","Private","私人",
"lb_marker_global_temp","Servermarker (temp)","Servermarker (Temp)","Servermarker (temp)","Servermarker (temp)","Глобальный (временный)","Servermarker (tymaczsowy)","Servermarker (temp)","Servermarker (temp)","Servermarker (temp)","Global (temporaire)","Servermarker (temp)","Servermarker (temp)","Servermarker (temp)","Servermarker (temp)",
"lb_marker_global_perm","Servermarker (perm)","Servermarker (Perm)","Servermarker (perm)","Servermarker (perm)","Глобальный (постоянный)","Servermarker (permanentny)","Servermarker (perm)","Servermarker (perm)","Servermarker (perm)","Global (permanent)","Servermarker (perm)","Servermarker (perm)","Servermarker (perm)","Servermarker (perm)",
"lb_visibility","Visibility:","Sichtbarkeit:","Visibility:","Visibility:","Видимость:","Widoczność:","Visibility:","Visibility:","Visibilidad:","Visibilité :","可见度:","可见度:","Visibility:","可见度:",
"lb_color","Color:","Farbe:","Color:","Color:","Цвет:","Kolor:","Color:","Color:","Color:","Couleur :","颜色:","颜色:","Color:","颜色:",
"lb_addmarker","Add Marker","Marker hinzufügen","Add Marker","Add Marker","Добавить маркер","Dodaj znacznik","Add Marker","Add Marker","Añadir marca","Ajouter un marqueur","添加标记","添加标记","Add Marker","添加标记",
"lb_survivors","Survivors:","Überlebende:","Survivors:","Survivors:","Выжившие:","Ocalali:","Survivors:","Survivors:","Supervivientes:","Survivants :","幸存者:","幸存者:","Survivors:","幸存者:",
"lb_coordinates","Coordinates:","Koordinaten:","Coordinates:","Coordinates:","Координаты:","Współrzędne:","Coordinates:","Coordinates:","Coordenadas:","Coordonnées :","协调:","协调:","Coordinates:","协调:",
"lb_gametime","Gametime:","Spielzeit:","Gametime:","Gametime:","Игровое время:","Czas gry:","Gametime:","Gametime:","Tiempo de Juego:","Temps de jeu :","游戏时间:","游戏时间:","Gametime:","游戏时间:",
"lb_servertime","ServerTime:","Server-Zeit:","ServerTime:","ServerTime:","Серверное время:","Czas serwera:","ServerTime:","ServerTime:","Hora in game:","Heure du serveur :","服务器时间:","服务器时间:","ServerTime:","服务器时间:",
"lb_marker_list","Marker List:","Marker Liste:","Marker List:","Marker List:","Список маркеров:","Lista znaczników:","Marker List:","Marker List:","Lista de marcas:","Liste des marqueurs :","标记列表:","标记列表:","Marker List:","标记列表:",
"lb_layout_styles","Layout Styles","Layoutstile","Layout Styles","Layout Styles","Стили слоя","Styl layoutu","Layout Styles","Layout Styles","Estilo del diseño","Style de présentation","布局样式","布局样式","Layout Styles","布局样式",
"lb_layout_positions","Layout Positions","Layoutpositionen","Layout Positions","Layout Positions","Позиция слоя","Pozycja layoutu","Layout Positions","Layout Positions","Posicion del diseño","Mise en page","布局位置","布局位置","Layout Positions","布局位置",
"lb_color_settings","Color Settings","Farbeinstellungen","Color Settings","Color Settings","Настройки цвета","Ustawienia koloru","Color Settings","Color Settings","Configuracion del color","Paramètres de couleur","颜色设置","颜色设置","Color Settings","颜色设置",
"lb_misc","Misc","Misc","Misc","Misc","Другое","Inne","Misc","Misc","Misc","Divers","杂项","杂项","Misc","杂项",
"lb_available","Available:","Verfügbar:","Available:","Available:","Доступно:","Dostępne:","Available:","Available:","Disponible:","Disponibles :","可用:","可用:","Available:","可用:",
"lb_pick_style","Pick Style:","Style wählen","Pick Style:","Pick Style:","Выбрать стиль:","Wybierz styl:","Pick Style:","Pick Style:","Elegir estilo:","Choisir le style :","挑选风格:","挑选风格:","Pick Style:","挑选风格:",
"lb_default","Default","Standard","Default","Default","По умолчанию","Domyślny","Default","Default","Por defecto","Défaut","默认的","默认的","Default","默认的",
"lb_preview","Preview:","Vorschau:","Preview:","Preview:","Предпросмотр:","Podgląd:","Preview:","Preview:","Visualizar:","Aperçu :","预览:","预览:","Preview:","预览:",
"lb_invert_x","Invert X","X Invertieren","Invert X","Invert X","Инверсия X","Odwróć X","Invert X","Invert X","Invertir X","Inverser X","反方向 X","反方向 X","Invert X","反方向 X",
"lb_invert_y","Invert Y","Y Invertieren","Invert Y","Invert Y","Инверсия Y","Odwróć Y","Invert Y","Invert Y","Invertir Y","Inverser Y","反方向 Y","反方向 Y","Invert Y","反方向 Y",
"lb_color_picker","Color Picker:","Farbe wählen:","Color Picker:","Color Picker:","Выбор цвета:","Paleta kolorów:","Color Picker:","Color Picker:","Selector de color:","Sélecteur de couleur :","颜色选择:","颜色选择:","Color Picker:","颜色选择:",
"lb_value_0_255","Value (0-255):","Wert (0-255):","Value (0-255):","Value (0-255):","Значение (0-255):","Wartość (0-255):","Value (0-255):","Value (0-255):","Valor (0-255):","Valeur (0-255) :","数值 (0-255):","数值 (0-255):","Value (0-255):","数值 (0-255):",
"lb_channel_alpha","Alpha Channel (transparency):","Alpha Kanal (Transparenz):","Alpha Channel (transparency):","Alpha Channel (transparency):","Альфа-канал (прозрачность):","Kanał Alpha (przeźroczystość):","Alpha Channel (transparency):","Alpha Channel (transparency):","Canal Alpha (transparencia):","Alpha (transparence) :","阿尔法 频道 (透明度):","阿尔法 频道 (透明度):","Alpha Channel (transparency):","阿尔法 频道 (透明度):",
"lb_channel_red","Red Channel:","Roter Kanal:","Red Channel:","Red Channel:","Красный:","Kanał Czerwony:","Red Channel:","Red Channel:","Canal rojo","Red Channel:","红色 频道:","红色 频道:","Red Channel:","红色 频道:",
"lb_channel_green","Green Channel:","Grüner Kanal:","Green Channel:","Green Channel:","Зеленый (G) :","Kanał Zielony:","Green Channel:","Green Channel:","Canal verde:","Vert :","绿色 频道:","绿色 频道:","Green Channel:","绿色 频道:",
"lb_channel_blue","Blue Channel:","Blauer Kanal:","Blue Channel:","Blue Channel:","Синий (B):","Kanał Niebieski:","Blue Channel:","Blue Channel:","Canal azul:","Bleu :","蓝色 频道:","蓝色 频道:","Blue Channel:","蓝色 频道:",
"lb_enable_playerlist_info","Enable PlayerList (default Toggle Keybind: ""U"")","Playerlist Aktivieren (Standard Key: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Включить список игроков (по умолчанию кнопка: ""U"")","Włącz listę graczy (domyślnie: U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","Habilitar Lista de jugadores (tecla por defecto: ""U"")","Activer la liste des joueurs (touche : U)","启用 玩家列表 (默认切换 按键: ""U"")","启用 玩家列表 (默认切换 按键: ""U"")","Enable PlayerList (default Toggle Keybind: ""U"")","启用 玩家列表 (默认切换 按键: ""U"")",
"lb_enable_compass_info","Enable Compass (default Toggle Keybind: ""H"")","Kompass Aktivieren (Standard Key: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Включить компас (по умолчанию кнопка: ""H"")","Włącz kompas (domyślnie: H"")","Enable Compass (default Toggle Keybind: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","Habilitar Brujula (Tecla por defecto: ""H"")","Activer la boussole (touche : H)","启用 罗盘 (默认的 切换 按键: ""H"")","启用 罗盘 (默认的 切换 按键: ""H"")","Enable Compass (default Toggle Keybind: ""H"")","启用 罗盘 (默认的 切换 按键: ""H"")",
"lb_ping_marker_icon","Ping Marker Icon:","Ping Marker Symbol:","Ping Marker Icon:","Ping Marker Icon:","Иконка маркера:","Ikona Pingu:","Ping Marker Icon:","Ping Marker Icon:","Icono de marcador del ping:","Icône Ping marqueur :","Ping 标记 图标:","Ping 标记 图标:","Ping Marker Icon:","Ping 标记 图标:",
"lb_misc_warning","Values are only changed for this session ! Press Save for persistent save","Die Einstellungen bleiben nur bis zum Neustart erhalten ! Drücke speichern, für dauerhaft gespeicherte Einstellungen","Values are only changed for this session ! Press Save for persistent save","Values are only changed for this session ! Press Save for persistent save","Значения изменены для этой сессии ! Нажмите Сохранить для применения постоянной настройки","Wartości są tylko zmieniane dla tej sesji ! Kliknij Zapisz, aby zapisać ustawienia","Values are only changed for this session ! Press Save for persistent save","Values are only changed for this session ! Press Save for persistent save","¡Los valores solo se cambian para esta sesion! Presione Guardar para guardar de forma permanente","Les valeurs ne sont modifiées que pour cette session! Appuyez sur Enregistrer pour un enregistrement permanent","值仅在此会话中更改! 按保存进行持久保存","值仅在此会话中更改! 按保存进行持久保存","Values are only changed for this session ! Press Save for persistent save","值仅在此会话中更改! 按保存进行持久保存",
"lb_misc_reset_all","Reset All","Zurücksetzen","Reset All","Reset All","Сбросить все","Zresetuj ustawienia","Reset All","Reset All","Reiniciar todo","Réinitialiser tous","重置所有","重置所有","Reset All","重置所有",
"lb_misc_reload_cfg","Reload Config","Neu Laden","Reload Config","Reload Config","Перезагрузка конфига","Przeładuj ustawienia","Reload Config","Reload Config","Recargar configuracion","Recharger la configuration","重新加载配置","重新加载配置","Reload Config","重新加载配置",
"lb_message_allowed_chars","Group Name and Tag must not contain any Special Characters !","Guppenname und Tag darf keine Spezialzeichen enthalten !","Group Name and Tag must not contain any Special Characters !","Group Name and Tag must not contain any Special Characters !","Имя и тег группы не должны содержать специальных символов !","Nazwa grupy i tag nie może zawierać specjalnych znaków !","Group Name and Tag must not contain any Special Characters !","Group Name and Tag must not contain any Special Characters !","El nombre del clan y el Tag no pueden contener caracteres !","Le nom du groupe et le tag ne doivent pas contenir de caractères spéciaux","组名和标签不能包含特殊字符!","组名和标签不能包含特殊字符!","Group Name and Tag must not contain any Special Characters !","组名和标签不能包含特殊字符!",
"lb_message_name_taken","Group Name is already taken !","Gruppenname bereits vergeben !","Group Name is already taken !","Group Name is already taken !","Группа с таким названием уже существует !","Nazwa grupy jest już zajęta !","Group Name is already taken !","Group Name is already taken !","El nombre del Clan ya esta en uso !","Le nom du groupe est déjà pris","组名已被占用!","组名已被占用!","Group Name is already taken !","组名已被占用!",
"lb_message_tag_taken","Group Tag is already taken !","Gruppentag bereits vergeben !","Group Tag is already taken !","Group Tag is already taken !","Такой тег уже занят !","Tag grupy jest już zajęty !","Group Tag is already taken !","Group Tag is already taken !","El TAg del clan ya esta en uso!","Le tag de groupe déjà pris","小组标签已被占用 !","小组标签已被占用 !","Group Tag is already taken !","小组标签已被占用 !",
"lb_message_internal_error","Internal Server Error","Interne Server Fehler","Internal Server Error","Internal Server Error","Внутренняя ошибка сервера","Wewnętrzny Błąd Serwera","Internal Server Error","Internal Server Error","Error de servidor interno","Erreur de serveur interne","内部服务器错误","内部服务器错误","Internal Server Error","内部服务器错误",
"lb_message_no_enough_money","No enough money ! Group creation costs:","Nicht genug Geld ! Gruppenerstellung kostet:","No enough money ! Group creation costs:","No enough money ! Group creation costs:","Недостаточно средств! Стоимость создания группы:","Nie wystarczająco pieniędzy ! Koszt utworzenia grupy:","No enough money ! Group creation costs:","No enough money ! Group creation costs:","No tienes suficiente dinero! Crear un clan cuesta:","Pas assez d’argent. Coûts de création de groupe :","没有足够的钱!组的创建成本:","没有足够的钱!组的创建成本:","No enough money ! Group creation costs:","没有足够的钱!组的创建成本:",
"lb_message_group_notfound","Group was not found !","Gruppe nicht gefunden !","Group was not found !","Group was not found !","Группа не найдена !","Nie znaleziono grupy !","Group was not found !","Group was not found !","No se encontro el Clan!","Le groupe n’a pas été trouvé","没有找到组 !","没有找到组 !","Group was not found !","没有找到组 !",
"lb_message_invite_notfound","Invite was not found!","Einladung nicht gefunden !","Invite was not found!","Invite was not found!","Invite was not found!","Nie znaleziono zaproszenia !","Invite was not found!","Invite was not found!","No se encontro la invitacion !","Invite was not found!","未找到邀请 !","未找到邀请 !","Invite was not found!","未找到邀请 !",
"lb_message_group_system","Groupsystem","Gruppensystem","Groupsystem","Groupsystem","Система Групп","Grupa Systemowa","Groupsystem","Groupsystem","Sistema de Clan","Système de groupe","小组系统","小组系统","Groupsystem","小组系统",
"lb_message_no_permissions_marker","You don't have the Permission to add Markers !","Du hast keine Berechtigung, um Marker hinzuzufügen !","You don't have the Permission to add Markers !","You don't have the Permission to add Markers !","У Вас нет разрешения на размещение маркеров !","Nie posiadasz wystarczających permisji, aby dodać znacznik !","You don't have the Permission to add Markers !","Bo tienes permisos para añadir marcas !","Bo tienes permisos para añadir marcas !","Vous n’avez pas la permission d’ajouter des marqueurs","您没有“添加标记的权限” !","您没有“添加标记的权限” !","You don't have the Permission to add Markers !","您没有“添加标记的权限” !",
"lb_message_marker_limit_reached","Marker Limit Reached !","Marker Limit erreicht !","Marker Limit Reached !","Marker Limit Reached !","Превышен лимит маркеров !","Osiągnieto limit znaczników !","Marker Limit Reached !","Marker Limit Reached !","Limite maximo de marcas alcanzado!","Limite des marqueurs atteinte","标记限制达到 !","标记限制达到 !","Marker Limit Reached !","标记限制达到 !",
"lb_message_no_permissions_remove","You don't have the Permission to remove Markers !","Du hast keine Berechtigung, um Marker zu löschen !","You don't have the Permission to remove Markers !","You don't have the Permission to remove Markers !","У Вас нет разрешения на удаление маркеров !","Nie posiadasz wystarczających permisji, aby usunąć znacznik !","You don't have the Permission to remove Markers !","You don't have the Permission to remove Markers !","No tienes permiso para eliminar marcas!","Vous n’avez pas la permission de supprimer les marqueurs","你没有移除标记的许可 !","你没有移除标记的许可 !","You don't have the Permission to remove Markers !","你没有移除标记的许可 !",
"lb_message_no_permissions_invite","You Don't have the Permission to invite Players !","Du hast keine Berechtigung, um Spieler einzuladen !","You Don't have the Permission to invite Players !","You Don't have the Permission to invite Players !","У Вас нет разрешения на приглашение игроков !","Nie posiadasz wystarczających permisji, aby zaprosić gracza !","You Don't have the Permission to invite Players !","You Don't have the Permission to invite Players !","No tienes permisos para invitar jugadores !","Vous n’avez pas la permission d’inviter les joueurs","你没有邀请玩家的许可 !","你没有邀请玩家的许可 !","You Don't have the Permission to invite Players !","你没有邀请玩家的许可 !",
"lb_message_no_permissions_promote","You don't have the Permission to Promote This Player !","Du hast keine Berechtigung, um den Spieler zu befördern !","You don't have the Permission to Promote This Player !","You don't have the Permission to Promote This Player !","У Вас нет разрешения на продвижение этого игрока !","Nie posiadasz wystarczających permisji, aby awansować gracza !","You don't have the Permission to Promote This Player !","You don't have the Permission to Promote This Player !","You don't have the Permission to Promote This Player !","Vous n’avez pas la permission de promouvoir ce joueur","您没有提升此玩家的权限 !","您没有提升此玩家的权限 !","You don't have the Permission to Promote This Player !","您没有提升此玩家的权限 !",
"lb_message_no_permissions_demote","You don't have the Permission to Demote This Player !","Du hast keine Berechtigung, umd den Spieler zu degradieren !","You don't have the Permission to Demote This Player !","You don't have the Permission to Demote This Player !","У Вас нет разрешения на понижение этого игрока !","Nie posiadasz wystarczających permisji, aby zdegradować gracza !","You don't have the Permission to Demote This Player !","You don't have the Permission to Demote This Player !","No tienes permisos para ascender a este jugador!","Vous n’avez pas la permission de rétrograder ce joueur","您没有降级此玩家的权限 !","您没有降级此玩家的权限 !","You don't have the Permission to Demote This Player !","您没有降级此玩家的权限 !",
"lb_message_no_permissions_kick","You don't have the Permission to Kick This Player !","Du hast keine Berechtigung, um den Spieler rauszuschmeißen !","You don't have the Permission to Kick This Player !","You don't have the Permission to Kick This Player !","У Вас нет разрешения на кик этого игрока !","Nie posiadasz wystarczających permisji, aby wyrzucić gracza !","You don't have the Permission to Kick This Player !","You don't have the Permission to Kick This Player !","No tienes permisos para expulsar a este jugador !","Vous n’avez pas la permission de kick ce joueur","你没有踢这个球员的权限 !","你没有踢这个球员的权限 !","You don't have the Permission to Kick This Player !","你没有踢这个球员的权限 !",
"lb_message_no_permissions_upgrade","You don't have the Permission to Upgrade the Group !","Du hast keine Berechtigung, um die Gruppe zu erweitern !","You don't have the Permission to Upgrade the Group !","You don't have the Permission to Upgrade the Group !","У Вас нет разрешения на прокачку группы !","Nie posiadasz wystarczających permisji, aby ulepszyć grupę !","You don't have the Permission to Upgrade the Group !","You don't have the Permission to Upgrade the Group !","No tienes permisos paa ascender el Clan !","Vous n’avez pas la permission de mettre a niveau le groupe","您没有升级组的权限 !","您没有升级组的权限 !","You don't have the Permission to Upgrade the Group !","您没有升级组的权限 !",
"lb_message_no_permissions_move","You don't have the Permission to Move this member!","Du hast keine Berechtigung, um diesen Spieler zu verschieben!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","Nie masz uprawnień do przenoszenia tego Członka!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!","You don't have the Permission to Move this member!",
"lb_message_max_level_reached","Max Level Reached !","Höchstes Level erreicht !","Max Level Reached !","Max Level Reached !","Достигнут максимальный уровень !","Osiągnięto maksymalny poziom !","Max Level Reached !","Max Level Reached !","Nivel maximo alcanzado!","Niveau maximum atteint","达到最大水平 !","达到最大水平 !","Max Level Reached !","达到最大水平 !",
"lb_message_player_not_found","Unable to find Selected Player !","Ausgewählter Spieler wurde nicht gefunden !","Unable to find Selected Player !","Unable to find Selected Player !","Невозможно найти выбранного игрока !","Nie udało się znaleźć gracza !","Unable to find Selected Player !","Unable to find Selected Player !","No se pudo encontrar al jugador seleccionado !","Impossible de trouver le joueur sélectionné","找不到选定的玩家 !","找不到选定的玩家 !","Unable to find Selected Player !","找不到选定的玩家 !",
"lb_message_already_in_group","Player is already in a Group !","Der Spieler ist bereits in einer Gruppe !","Player is already in a Group !","Player is already in a Group !","Игрок уже находится в группе !","Gracz należy aktualnie do grupy !","Player is already in a Group !","Player is already in a Group !","El jugador ya esta en el Clan!","Le joueur est déjà dans un groupe","玩家已经在一个组中 !","玩家已经在一个组中 !","Player is already in a Group !","玩家已经在一个组中 !",
"lb_message_invited","Player Invited","Spieler eingeladen","Player Invited","Player Invited","Игрок приглашен","Gracz zaproszony","Player Invited","Player Invited","Jugador invitado","Joueur invité","邀请玩家","邀请玩家","Player Invited","邀请玩家",
"lb_message_group_full","Group is full !","Die Gruppe ist voll !","Group is full !","Group is full !","Группа переполнена !","Grupa jest pełna !","Group is full !","Group is full !","El clan esta completo!","Le groupe est complet","团体已满 !","团体已满 !","Group is full !","团体已满 !",
"lb_message_subgroup_joined","You joined Subgroup:","Untergruppe beigetreten:","You joined Subgroup:","You joined Subgroup:","Вы присоединились к подгруппе:","Dołączyłeś do podgrupy:","You joined Subgroup:","You joined Subgroup:","Te uniste al subgrupo :","Vous avez rejoint le sous-groupe :","你加入了小组:","你加入了小组:","You joined Subgroup:","你加入了小组:",
"lb_message_group_left","You left the Group","Gruppe verlassen:","You left the Group","You left the Group","Вы покинули группу","Opuściłeś grupę","You left the Group","You left the Group","Saliste del Clan","Vous avez quitte le groupe","你离开了小组","你离开了小组","You left the Group","你离开了小组",
"lb_message_group_upgraded","Group upgraded to Level:","Grupper erweitert auf Level:","Group upgraded to Level:","Group upgraded to Level:","Уровень группы повышен:","Ulepszono grupę do poziomu:","Group upgraded to Level:","Group upgraded to Level:","Clan ascendido a nivel:","Groupe mis à niveau :","组别提升至二级:","组别提升至二级:","Group upgraded to Level:","组别提升至二级:",
"lb_message_settings_to_default","Settings have all been reset to Default !","Alle Einstellungen auf Standard zurückgesetzt","Settings have all been reset to Default !","Settings have all been reset to Default !","Настройки установлены по умолчанию !","Przywrócono ustawienia do domyślnych !","Settings have all been reset to Default !","Settings have all been reset to Default !","Configuracion restaurada por defecto !","Les paramètres ont tous été réinitialisés par défaut","所有设置都已重置为默认值 !","所有设置都已重置为默认值 !","Settings have all been reset to Default !","所有设置都已重置为默认值 !",
"lb_message_settings_saved","Settings have been saved !","Einstellungen wurden gespeichert !","Settings have been saved !","Settings have been saved !","Настройки сохранены !","Zapisano ustawienia !","Settings have been saved !","Settings have been saved !","Configuracion guardada !","Les paramètres ont été enregistres","设置已保存 !","设置已保存 !","Settings have been saved !","设置已保存 !",
"lb_message_settings_reloaded","Settings have been reloaded !","Einstellungen neu geladen !","Settings have been reloaded !","Settings have been reloaded !","Настройки перезагружены !","Przeładowano ustawienia !","Settings have been reloaded !","Settings have been reloaded !","Configuracion restaurada !","Les paramètres ont été rechargés","设置已重新加载!","设置已重新加载!","Settings have been reloaded !","设置已重新加载!",
"lb_message_global_marker_added","Global Marker added !","Globaler Marker hinzugefügt !","Global Marker added !","Global Marker added !","Глобальный маркер добавлен !","Global znacznik dodany !","Global Marker added !","Global Marker added !","Marca global añadida !","Marqueur global ajouté","添加了全局标记 !","添加了全局标记 !","Global Marker added !","添加了全局标记 !",
"lb_message_marker_not_found","Marker not found !","Marker nicht gefunden !","Marker not found !","Marker not found !","Маркер не найден !","Znacznik nie znaleziony !","Marker not found !","Marker not found !","Marca no encontrada!","Marqueur non trouvé","找不到标记 !","找不到标记 !","Marker not found !","找不到标记 !",
"lb_message_global_marker_removed","Global Marker removed !","Globaler Marker gelöscht !","Global Marker removed !","Global Marker removed !","Глобальный маркер удален !","Globalny znacznik usunięty !","Global Marker removed !","Global Marker removed !","Marca global eliminada !","Marqueur global retiré","删除全局标记 !","删除全局标记 !","Global Marker removed !","删除全局标记 !",
"lb_message_group_name_between","Group Name must be between %min% and %max% characters!","Gruppenname muss zwischen %min% und %max% Zeichen sein!","Group Name must be between %min% and %max% characters!","Group Name must be between %min% and %max% characters!","Имя группы должно быть между %min% и %max% знаками!","Nazwa grupy musi zawierać %min% a %max% graczy!","Group Name must be between %min% and %max% characters!","Group Name must be between %min% and %max% characters!","El nombre dl clan debe estar entre %min% y %max% caracteres!","Le nom du groupe doit être compris entre %min% et %max% caractères!","组名必须介于 %min% 和 %max% 人物!","组名必须介于 %min% 和 %max% 人物!","Group Name must be between %min% and %max% characters!","组名必须介于 %min% 和 %max% 人物!",
"lb_message_group_tag_between","Group Tag must be between %min% and %max% characters!","Gruppentag muss zwischen %min% und %max% Zeichen sein!","Group Tag must be between %min% and %max% characters!","Group Tag must be between %min% and %max% characters!","Тег группы должен быть между %min% и %max% знаками!","Tag grupy musi być pomiędzy %min% a %max% graczy!","Group Tag must be between %min% and %max% characters!","Group Tag must be between %min% and %max% characters!","El Tag del clan debe estar entre %min% y %max% caracteres!","Le tag doit être entre %min% et %max% caractères!","组标记必须介于 %min% 和 %max% 人物!","组标记必须介于 %min% 和 %max% 人物!","Group Tag must be between %min% and %max% characters!","组标记必须介于 %min% 和 %max% 人物!",
"lb_message_promoted_to_target","You Promoted %name% to %rank% Rank","Du hast %name% zum %rank% befördert","You Promoted %name% to %rank% Rank","You Promoted %name% to %rank% Rank","Вы повышены %name% до %rank% Ранк","Awansowałeś %name% do %rank% Rangi","You Promoted %name% to %rank% Rank","You Promoted %name% to %rank% Rank","Has ascendido %name% a %rank% Rango","Vous avez promu %name% à %rank% Rang","你升职了 %name% 到 %rank% 等级","你升职了 %name% 到 %rank% 等级","You Promoted %name% to %rank% Rank","你升职了 %name% 到 %rank% 等级",
"lb_message_promoted_to_info","You were Promoted to %rank% Rank","Du wurdest zum %rank% befördert","You were Promoted to %rank% Rank","You were Promoted to %rank% Rank","Вы были повышены до %rank% Ранк","Zostałeś awansowany do %rank% Rangi","You were Promoted to %rank% Rank","You were Promoted to %rank% Rank","Fuiste ascendido a %rank% Rango","Vous avez été promu au %rank% Rang","你被提升为 %rank% 等级","你被提升为 %rank% 等级","You were Promoted to %rank% Rank","你被提升为 %rank% 等级",
"lb_message_demoted_to_target","You Demoted %name% to %rank% Rank","Du hast %name% zum %rank% degradiert","You Demoted %name% to %rank% Rank","You Demoted %name% to %rank% Rank","Вы понижены %name% до %rank% Ранк","Zdegradowałeś %name% do %rank% Rangi","You Demoted %name% to %rank% Rank","You Demoted %name% to %rank% Rank","Degradado %name% a %rank% Rango","Vous avez été rétrogradé %name% à %rank% Rang","你降级了 %name% 到 %rank% 等级","你降级了 %name% 到 %rank% 等级","You Demoted %name% to %rank% Rank","你降级了 %name% 到 %rank% 等级",
