"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_adm_spawn_at_target","Spawn Item at Target Object","Gegenstand an Ziel-Objekt spawnen","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Zresp przedmiot na obiekcie docelowym","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object","Spawn Item at Target Object",
"lb_adm_toggle_freecam","Toggle Freecam","Freie Kamera umschalten","Toggle Freecam","Toggle Freecam","Toggle Freecam","Przełącz Tryb wolnej kamery","Toggle Freecam","Toggle Freecam","Toggle Freecam","Toggle Freecam","Toggle Freecam","Toggle Freecam","Toggle Freecam","Toggle Freecam",
"lb_adm_toggle_godmode","Toggle Godmode","Godmode umschalten","Toggle Godmode","Toggle Godmode","Toggle Godmode","Przełącz Tryb Boga","Toggle Godmode","Toggle Godmode","Toggle Godmode","Toggle Godmode","Toggle Godmode","Toggle Godmode","Toggle Godmode","Toggle Godmode",
"lb_adm_toggle_invisibility","Toggle Invisibility","Unsichtbarkeit umschalten","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Przełącz Tryb Niewidzialności","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility",
"lb_adm_toggle_esp","Toggle ESP","ESP umschalten","Toggle ESP","Toggle ESP","Toggle ESP","Przełącz Tryb ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP",
"lb_adm_open_command_console","Open Command Console","Konsole öffnen","Open Command Console","Open Command Console","Open Command Console","Otwórz konsolę Komend","Open Command Console","Open Command Console","Open Command Console","Open Command Console","Open Command Console","Open Command Console","Open Command Console","Open Command Console",
"lb_adm_zoom_out_spectator","Zoom out in Spectator Cam","Beobachter-Kamera herauszoomen","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Oddal w Kamerze Obserwatora","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam","Zoom out in Spectator Cam",
"lb_adm_zoom_in_spectator","Zoom near in Spectator Cam","Beobachter-Kamera hereinzoomen","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Przybliż w Kamerze Obserwatora","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam","Zoom near in Spectator Cam",
"lb_adm_copy_player_pos","Copy current player position","Aktuelle Spieler Position kopieren","Copy current player position","Copy current player position","Copy current player position","Skopiuj bieżącą pozycję gracza","Copy current player position","Copy current player position","Copy current player position","Copy current player position","Copy current player position","Copy current player position","Copy current player position","Copy current player position",
"lb_adm_heal_yourself","Heal yourself","Sich selbst heilen","Heal yourself","Heal yourself","Heal yourself","Ulecz się","Heal yourself","Heal yourself","Heal yourself","Heal yourself","Heal yourself","Heal yourself","Heal yourself","Heal yourself",
"lb_adm_repair_target","Repair Target (heal player, repair vehicle)","Ziel reparieren (Spieler heilen, Fahrzeug reparieren)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Napraw cel (wylecz gracza, napraw pojazd)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)","Repair Target (heal player, repair vehicle)",
"lb_adm_undo_step","Undo Step (Object builder)","Rückgängig (Objekt Editor)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Cofnij Krok (edytor obiektów)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)","Undo Step (Object builder)",
"lb_adm_redo_step","Redo Step (Object builder)","Wiederherstellen (Objekt Editor)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Ponów Krok (edytor obiektów)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)","Redo Step (Object builder)",
"lb_adm_copy_looking_at","Copy Looking at Object info","Info kopieren über angeschautes Objekt","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Skopiuj dane obiektu, na który patrzysz","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info","Copy Looking at Object info",
"lb_adm_enable_preset_1","Enable Preset 1 in the Admin Menu","Voreinstellung 1 im Admin Menü laden","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Aktywuj zestaw 1 w menu administratora","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu","Enable Preset 1 in the Admin Menu",
"lb_adm_enable_preset_2","Enable Preset 2 in the Admin Menu","Voreinstellung 2 im Admin Menü laden","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Aktywuj zestaw 2 w menu administratora","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu","Enable Preset 2 in the Admin Menu",
"lb_adm_enable_preset_3","Enable Preset 3 in the Admin Menu","Voreinstellung 3 im Admin Menü laden","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Aktywuj zestaw 3 w menu administratora","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu","Enable Preset 3 in the Admin Menu",
"lb_adm_enable_preset_4","Enable Preset 4 in the Admin Menu","Voreinstellung 4 im Admin Menü laden","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Aktywuj zestaw 4 w menu administratora","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu","Enable Preset 4 in the Admin Menu",
"lb_adm_enable_preset_5","Enable Preset 5 in the Admin Menu","Voreinstellung 5 im Admin Menü laden","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Aktywuj zestaw 5 w menu administratora","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu","Enable Preset 5 in the Admin Menu",
"lb_adm_enable_preset_6","Enable Preset 6 in the Admin Menu","Voreinstellung 6 im Admin Menü laden","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Aktywuj zestaw 6 w menu administratora","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu","Enable Preset 6 in the Admin Menu",
"lb_adm_enable_preset_7","Enable Preset 7 in the Admin Menu","Voreinstellung 7 im Admin Menü laden","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Aktywuj zestaw 7 w menu administratora","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu","Enable Preset 7 in the Admin Menu",
"lb_adm_enable_preset_8","Enable Preset 8 in the Admin Menu","Voreinstellung 8 im Admin Menü laden","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Aktywuj zestaw 8 w menu administratora","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu","Enable Preset 8 in the Admin Menu",
"lb_adm_enable_preset_9","Enable Preset 9 in the Admin Menu","Voreinstellung 9 im Admin Menü laden","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Aktywuj zestaw 9 w menu administratora","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu","Enable Preset 9 in the Admin Menu",
"lb_adm_banned_player","Banned Player","Gesperrter Spieler","Banned Player","Banned Player","Banned Player","Zbanowany Gracz","Banned Player","Banned Player","Banned Player","Banned Player","Banned Player","Banned Player","Banned Player","Banned Player",
"lb_adm_reason","Reason","Begründung","Reason","Reason","Reason","Powód","Reason","Reason","Reason","Reason","Reason","Reason","Reason","Reason",
"lb_adm_show_expired","Show Expired","Zeige Abgelaufene","Show Expired","Show Expired","Show Expired","Pokaż Wygasłe","Show Expired","Show Expired","Show Expired","Show Expired","Show Expired","Show Expired","Show Expired","Show Expired",
"lb_adm_steamid","Steamid: ","Steam-Id: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ",
"lb_adm_banned_by","Banned By: ","Gesperrt von: ","Banned By: ","Banned By: ","Banned By: ","Zbanowany przez: ","Banned By: ","Banned By: ","Banned By: ","Banned By: ","Banned By: ","Banned By: ","Banned By: ","Banned By: ",
"lb_adm_banned_since","Banned Since: ","Gesperrt seit: ","Banned Since: ","Banned Since: ","Banned Since: ","Zbanowany od: ","Banned Since: ","Banned Since: ","Banned Since: ","Banned Since: ","Banned Since: ","Banned Since: ","Banned Since: ","Banned Since: ",
"lb_adm_time_reamining","Time reamining: ","Zeit übrig: ","Time reamining: ","Time reamining: ","Time reamining: ","Pozostały czas: ","Time reamining: ","Time reamining: ","Time reamining: ","Time reamining: ","Time reamining: ","Time reamining: ","Time reamining: ","Time reamining: ",
"lb_adm_duration","Duration: ","Dauer: ","Duration: ","Duration: ","Duration: ","Czas trwania: ","Duration: ","Duration: ","Duration: ","Duration: ","Duration: ","Duration: ","Duration: ","Duration: ",
"lb_adm_permanent","Permanent","Permanent","Permanent","Permanent","Permanent","Stały","Permanent","Permanent","Permanent","Permanent","Permanent","Permanent","Permanent","Permanent",
"lb_adm_reason_2","Reason: ","Begründung: ","Reason: ","Reason: ","Reason: ","Powód: ","Reason: ","Reason: ","Reason: ","Reason: ","Reason: ","Reason: ","Reason: ","Reason: ",
"lb_adm_comment","Comment: ","Kommentar: ","Comment: ","Comment: ","Comment: ","Komentarz: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ",
"lb_adm_unban","Unban","Entsperren","Unban","Unban","Unban","Odbanuj","Unban","Unban","Unban","Unban","Unban","Unban","Unban","Unban",
"lb_adm_new_ban","NEW Ban","Neuer Ban","NEW Ban","NEW Ban","NEW Ban","Nowy BAN","NEW Ban","NEW Ban","NEW Ban","NEW Ban","NEW Ban","NEW Ban","NEW Ban","NEW Ban",
"lb_adm_name","Name: ","Name: ","Name: ","Name: ","Name: ","Nick: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ",
"lb_adm_weeks","Weeks: ","Wochen: ","Weeks: ","Weeks: ","Weeks: ","Tygodni: ","Weeks: ","Weeks: ","Weeks: ","Weeks: ","Weeks: ","Weeks: ","Weeks: ","Weeks: ",
"lb_adm_days","Days: ","Tage: ","Days: ","Days: ","Days: ","Dni: ","Days: ","Days: ","Days: ","Days: ","Days: ","Days: ","Days: ","Days: ",
"lb_adm_hours","Hours: ","Stunden: ","Hours: ","Hours: ","Hours: ","Godziny: ","Hours: ","Hours: ","Hours: ","Hours: ","Hours: ","Hours: ","Hours: ","Hours: ",
"lb_adm_minutes","Minutes: ","Minuten: ","Minutes: ","Minutes: ","Minutes: ","Minuty: ","Minutes: ","Minutes: ","Minutes: ","Minutes: ","Minutes: ","Minutes: ","Minutes: ","Minutes: ",
"lb_adm_seconds","Seconds: ","Sekunden: ","Seconds: ","Seconds: ","Seconds: ","Sekundy: ","Seconds: ","Seconds: ","Seconds: ","Seconds: ","Seconds: ","Seconds: ","Seconds: ","Seconds: ",
"lb_adm_saved_presets","Saved Presets","Gepeicherte Voreinstellungen","Saved Presets","Saved Presets","Saved Presets","Zapisany Zestaw","Saved Presets","Saved Presets","Saved Presets","Saved Presets","Saved Presets","Saved Presets","Saved Presets","Saved Presets",
"lb_adm_save_preset","Save Preset...","Voreinstellung speichern","Save Preset...","Save Preset...","Save Preset...","Zapisz Zestaw...","Save Preset...","Save Preset...","Save Preset...","Save Preset...","Save Preset...","Save Preset...","Save Preset...","Save Preset...",
"lb_adm_delete_preset","Delete Preset","Voreinstellung löschen","Delete Preset","Delete Preset","Delete Preset","Usuń Zestaw","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Delete Preset",
"lb_adm_set_favorite","Set Favorite","Als Favorit festlegen","Set Favorite","Set Favorite","Set Favorite","Ustaw jako Ulubione","Set Favorite","Set Favorite","Set Favorite","Set Favorite","Set Favorite","Set Favorite","Set Favorite","Set Favorite",
"lb_adm_select_item","Select Item...","Gegenstand auswählen","Select Item...","Select Item...","Select Item...","Wybierz Przedmiot...","Select Item...","Select Item...","Select Item...","Select Item...","Select Item...","Select Item...","Select Item...","Select Item...",
"lb_adm_enable_dragging_esp_items","Enable Dragging ESP Items","Verschieben von ESP Gegenständen aktivieren","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Włącz przeciąganie przedmiotów ESP","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items","Enable Dragging ESP Items",
"lb_adm_snap_object_to_surface","Snap Object to Surface","Objekt an Boden anpassen","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Przyciągnij obiekt do powierzchni","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface","Snap Object to Surface",
"lb_adm_enable_camera_movement_when_dragging","Enable Camera Movement when dragging","Kamera Bewegung beim Verschieben aktivieren","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Włącz ruch kamery podczas przeciągania","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging","Enable Camera Movement when dragging",
"lb_adm_enable_esp","Enable ESP","ESP aktivieren","Enable ESP","Enable ESP","Enable ESP","Włącz ESP","Enable ESP","Enable ESP","Enable ESP","Enable ESP","Enable ESP","Enable ESP","Enable ESP","Enable ESP",
"lb_adm_show_classnames","Show classnames","Klassen-Namen anzeigen","Show classnames","Show classnames","Show classnames","Pokaż Nazwy Klas","Show classnames","Show classnames","Show classnames","Show classnames","Show classnames","Show classnames","Show classnames","Show classnames",
"lb_adm_player_skeleton","Player Skeleton","Spieler Skelett","Player Skeleton","Player Skeleton","Player Skeleton","Szkielet Gracza","Player Skeleton","Player Skeleton","Player Skeleton","Player Skeleton","Player Skeleton","Player Skeleton","Player Skeleton","Player Skeleton",
"lb_adm_min_health","Min Health:","Min Gesundheit:","Min Health:","Min Health:","Min Health:","Minimalne Zdrowie:","Min Health:","Min Health:","Min Health:","Min Health:","Min Health:","Min Health:","Min Health:","Min Health:",
"lb_adm_max_health","Max Health: ","Max Gesundheit: ","Max Health: ","Max Health: ","Max Health: ","Maksymalne Zdrowie: ","Max Health: ","Max Health: ","Max Health: ","Max Health: ","Max Health: ","Max Health: ","Max Health: ","Max Health: ",
"lb_adm_enabled","Enabled","Aktiviert","Enabled","Enabled","Enabled","Włączony","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled",
"lb_adm_allow_freecam_underground","Allow Freecam Underground","Freie Kamera kann unter den Boden","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Zezwól Wolna Kamera pod ziemią","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground","Allow Freecam Underground",
"lb_adm_reset_fov_when_entering_freecam","Reset FOV when entering freecam","FOV zurücksetzen, wenn Freie Kamera aktiviert wird","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Zresetuj pole widzenia podczas wchodzenia do Wolnej Kamery","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam","Reset FOV when entering freecam",
"lb_adm_reset_fov_after_letting_go_zoom_key","Reset FOV after letting go Zoom Key","FOV zurücksetzen, wenn Zoom Taste losgelassen wird","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Zresetuj pole widzenia po zwolnieniu Przycisku Zoom","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key","Reset FOV after letting go Zoom Key",
"lb_adm_freeze","Freeze","Einfrieren","Freeze","Freeze","Freeze","Zamroź","Freeze","Freeze","Freeze","Freeze","Freeze","Freeze","Freeze","Freeze",
"lb_adm_freecam_turbo_shift","Freecam Turbo (Shift): ","Freie Kamera Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Przyspieszenie wolnej kamery (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ","Freecam Turbo (Shift): ",
"lb_adm_freecam_speed","Freecam Speed: ","Freie Kamera Geschwindigkeit: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Prędkość wolnej kamery: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ","Freecam Speed: ",
"lb_adm_freecam_movement_smoothness","Freecam Movement Smoothness: ","Freie Kamera Bewegungs-Glättung: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Płynność ruchu wolnej kamery: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ","Freecam Movement Smoothness: ",
"lb_adm_freecam_mouse_smoothness","Freecam Mouse Smoothness: ","Freie Kamera Maus Bewegungs-Glättung: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Płynność myszy w wolnej kamerze: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ","Freecam Mouse Smoothness: ",
"lb_adm_freecam_mouse_sensitivity","Freecam Mouse Sensitivity: ","Freie Kamera Maus-Empfindlichkeit: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Czułość myszy w wolnej kamerze: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ","Freecam Mouse Sensitivity: ",
"lb_adm_freecam_fov","Freecam FOV: ","Freie Kamera FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Pole widzenia wolnej kamery: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ","Freecam FOV: ",
"lb_adm_banning_admin","Banning Admin","Verantwortlicher Admin","Banning Admin","Banning Admin","Banning Admin","Administrator Banujący ","Banning Admin","Banning Admin","Banning Admin","Banning Admin","Banning Admin","Banning Admin","Banning Admin","Banning Admin",
"lb_adm_include_items_not_found","Include Items not found on the map","Zeige Gegenstände an, die nicht auf der Karte sind","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Uwzględnij przedmioty niewystępujące na mapie","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map","Include Items not found on the map",
"lb_adm_show_all_items","Show All Items","Alle Gegenstände anzeigen","Show All Items","Show All Items","Show All Items","Pokaż Wszystkie Przedmioty","Show All Items","Show All Items","Show All Items","Show All Items","Show All Items","Show All Items","Show All Items","Show All Items",
"lb_adm_show_itemnames","Show Itemnames","Gegenstands-Namen anzeigen","Show Itemnames","Show Itemnames","Show Itemnames","Pokaż Nazwy Przedmiotów","Show Itemnames","Show Itemnames","Show Itemnames","Show Itemnames","Show Itemnames","Show Itemnames","Show Itemnames","Show Itemnames",
"lb_adm_show_child_count","Show Child count","Anzahl Kind-Items anzeigen","Show Child count","Show Child count","Show Child count","Pokaż liczbę elementów podrzędnych","Show Child count","Show Child count","Show Child count","Show Child count","Show Child count","Show Child count","Show Child count","Show Child count",
"lb_adm_delete_selected","Delete selected","Ausgewählte löschen","Delete selected","Delete selected","Delete selected","Usuń Zaznaczone","Delete selected","Delete selected","Delete selected","Delete selected","Delete selected","Delete selected","Delete selected","Delete selected",
"lb_adm_delete_all_items_in_list","Delete all Items in list","Alle Gegenstände in der Liste löschen","Delete all Items in list","Delete all Items in list","Delete all Items in list","Usuń wszystkie przedmioty z listy","Delete all Items in list","Delete all Items in list","Delete all Items in list","Delete all Items in list","Delete all Items in list","Delete all Items in list","Delete all Items in list","Delete all Items in list",
"lb_adm_spawn","Spawn","Spawnen","Spawn","Spawn","Spawn","Zresp","Spawn","Spawn","Spawn","Spawn","Spawn","Spawn","Spawn","Spawn",
"lb_adm_debug_spawn","Debug Spawn","Debug Spawnen","Debug Spawn","Debug Spawn","Debug Spawn","Debugowy Respawn","Debug Spawn","Debug Spawn","Debug Spawn","Debug Spawn","Debug Spawn","Debug Spawn","Debug Spawn","Debug Spawn",
"lb_adm_ce_spawn","CE spawn","CE spawnen","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn","CE spawn",
"lb_adm_export","Export","Exportieren","Export","Export","Export","Eksportuj","Export","Export","Export","Export","Export","Export","Export","Export",
